,Date,Inflation
0,1990-01-01,1.03
1,1990-02-01,0.47
2,1990-03-01,0.55
3,1990-04-01,0.16
4,1990-05-01,0.23
5,1990-06-01,0.54
6,1990-07-01,0.38
7,1990-08-01,0.92
8,1990-09-01,0.84
9,1990-10-01,0.6
10,1990-11-01,0.22
11,1990-12-01,0.0
12,1991-01-01,0.6
13,1991-02-01,0.15
14,1991-03-01,0.15
15,1991-04-01,0.15
16,1991-05-01,0.3
17,1991-06-01,0.29
18,1991-07-01,0.15
19,1991-08-01,0.29
20,1991-09-01,0.44
21,1991-10-01,0.15
22,1991-11-01,0.29
23,1991-12-01,0.07
24,1992-01-01,0.15
25,1992-02-01,0.36
26,1992-03-01,0.51
27,1992-04-01,0.14
28,1992-05-01,0.14
29,1992-06-01,0.36
30,1992-07-01,0.21
31,1992-08-01,0.28
32,1992-09-01,0.28
33,1992-10-01,0.35
34,1992-11-01,0.14
35,1992-12-01,-0.07
36,1993-01-01,0.49
37,1993-02-01,0.35
38,1993-03-01,0.35
39,1993-04-01,0.28
40,1993-05-01,0.14
41,1993-06-01,0.14
42,1993-07-01,0.0
43,1993-08-01,0.28
44,1993-09-01,0.21
45,1993-10-01,0.41
46,1993-11-01,0.07
47,1993-12-01,0.0
48,1994-01-01,0.27
49,1994-02-01,0.34
50,1994-03-01,0.34
51,1994-04-01,0.14
52,1994-05-01,0.07
53,1994-06-01,0.34
54,1994-07-01,0.27
55,1994-08-01,0.4
56,1994-09-01,0.27
57,1994-10-01,0.07
58,1994-11-01,0.13
59,1994-12-01,0.0
60,1995-01-01,0.4
61,1995-02-01,0.4
62,1995-03-01,0.33
63,1995-04-01,0.33
64,1995-05-01,0.2
65,1995-06-01,0.2
66,1995-07-01,0.0
67,1995-08-01,0.26
68,1995-09-01,0.2
69,1995-10-01,0.33
70,1995-11-01,-0.07
71,1995-12-01,-0.07
72,1996-01-01,0.59
73,1996-02-01,0.32
74,1996-03-01,0.52
75,1996-04-01,0.39
76,1996-05-01,0.19
77,1996-06-01,0.06
78,1996-07-01,0.19
79,1996-08-01,0.19
80,1996-09-01,0.32
81,1996-10-01,0.32
82,1996-11-01,0.19
83,1996-12-01,0.0
84,1997-01-01,0.32
85,1997-02-01,0.31
86,1997-03-01,0.25
87,1997-04-01,0.12
88,1997-05-01,-0.06
89,1997-06-01,0.12
90,1997-07-01,0.12
91,1997-08-01,0.19
92,1997-09-01,0.25
93,1997-10-01,0.25
94,1997-11-01,-0.06
95,1997-12-01,-0.12
96,1998-01-01,0.19
97,1998-02-01,0.19
98,1998-03-01,0.19
99,1998-04-01,0.18
100,1998-05-01,0.18
101,1998-06-01,0.12
102,1998-07-01,0.12
103,1998-08-01,0.12
104,1998-09-01,0.12
105,1998-10-01,0.24
106,1998-11-01,0.0
107,1998-12-01,-0.06
108,1999-01-01,0.24
109,1999-02-01,0.12
110,1999-03-01,0.3
111,1999-04-01,0.73
112,1999-05-01,0.0
113,1999-06-01,0.0
114,1999-07-01,0.3
115,1999-08-01,0.24
116,1999-09-01,0.48
117,1999-10-01,0.18
118,1999-11-01,0.06
119,1999-12-01,0.0
120,2000-01-01,0.3
121,2000-02-01,0.59
122,2000-03-01,0.82
123,2000-04-01,0.06
124,2000-05-01,0.12
125,2000-06-01,0.52
126,2000-07-01,0.23
127,2000-08-01,0.0
128,2000-09-01,0.52
129,2000-10-01,0.17
130,2000-11-01,0.06
131,2000-12-01,-0.06
132,2001-01-01,0.63
133,2001-02-01,0.4
134,2001-03-01,0.23
135,2001-04-01,0.4
136,2001-05-01,0.45
137,2001-06-01,0.17
138,2001-07-01,-0.28
139,2001-08-01,0.0
140,2001-09-01,0.45
141,2001-10-01,-0.34
142,2001-11-01,-0.17
143,2001-12-01,-0.39
144,2002-01-01,0.23
145,2002-02-01,0.4
146,2002-03-01,0.56
147,2002-04-01,0.56
148,2002-05-01,0.0
149,2002-06-01,0.06
150,2002-07-01,0.11
151,2002-08-01,0.33
152,2002-09-01,0.17
153,2002-10-01,0.17
154,2002-11-01,0.0
155,2002-12-01,-0.22
156,2003-01-01,0.44
157,2003-02-01,0.77
158,2003-03-01,0.6
159,2003-04-01,-0.22
160,2003-05-01,-0.16
161,2003-06-01,0.11
162,2003-07-01,0.11
163,2003-08-01,0.38
164,2003-09-01,0.33
165,2003-10-01,-0.11
166,2003-11-01,-0.27
167,2003-12-01,-0.11
168,2004-01-01,0.49
169,2004-02-01,0.54
170,2004-03-01,0.64
171,2004-04-01,0.32
172,2004-05-01,0.59
173,2004-06-01,0.32
174,2004-07-01,-0.16
175,2004-08-01,0.05
176,2004-09-01,0.21
177,2004-10-01,0.53
178,2004-11-01,0.05
179,2004-12-01,-0.37
180,2005-01-01,0.21
181,2005-02-01,0.58
182,2005-03-01,0.78
183,2005-04-01,0.67
184,2005-05-01,-0.1
185,2005-06-01,0.05
186,2005-07-01,0.46
187,2005-08-01,0.51
188,2005-09-01,1.22
189,2005-10-01,0.2
190,2005-11-01,-0.8
191,2005-12-01,-0.4
192,2006-01-01,0.76
193,2006-02-01,0.2
194,2006-03-01,0.55
195,2006-04-01,0.85
196,2006-05-01,0.5
197,2006-06-01,0.2
198,2006-07-01,0.3
199,2006-08-01,0.2
200,2006-09-01,-0.49
201,2006-10-01,-0.54
202,2006-11-01,-0.15
203,2006-12-01,0.15
204,2007-01-01,0.31
205,2007-02-01,0.54
206,2007-03-01,0.91
207,2007-04-01,0.65
208,2007-05-01,0.61
209,2007-06-01,0.19
210,2007-07-01,-0.03
211,2007-08-01,-0.18
212,2007-09-01,0.28
213,2007-10-01,0.21
214,2007-11-01,0.59
215,2007-12-01,-0.07
216,2008-01-01,0.5
217,2008-02-01,0.29
218,2008-03-01,0.87
219,2008-04-01,0.61
220,2008-05-01,0.84
221,2008-06-01,1.01
222,2008-07-01,0.53
223,2008-08-01,-0.4
224,2008-09-01,-0.14
225,2008-10-01,-1.01
226,2008-11-01,-1.92
227,2008-12-01,-1.03
228,2009-01-01,0.44
229,2009-02-01,0.5
230,2009-03-01,0.24
231,2009-04-01,0.25
232,2009-05-01,0.29
233,2009-06-01,0.86
234,2009-07-01,-0.16
235,2009-08-01,0.22
236,2009-09-01,0.06
237,2009-10-01,0.1
238,2009-11-01,0.07
239,2009-12-01,-0.18
240,2010-01-01,0.34
241,2010-02-01,0.02
242,2010-03-01,0.41
243,2010-04-01,0.17
244,2010-05-01,0.08
245,2010-06-01,-0.1
246,2010-07-01,0.02
247,2010-08-01,0.14
248,2010-09-01,0.06
249,2010-10-01,0.12
250,2010-11-01,0.04
251,2010-12-01,0.17
252,2011-01-01,0.48
253,2011-02-01,0.49
254,2011-03-01,0.98
255,2011-04-01,0.64
256,2011-05-01,0.47
257,2011-06-01,-0.11
258,2011-07-01,0.09
259,2011-08-01,0.28
260,2011-09-01,0.15
261,2011-10-01,-0.21
262,2011-11-01,-0.08
263,2011-12-01,-0.25
264,2012-01-01,0.44
265,2012-02-01,0.44
266,2012-03-01,0.76
267,2012-04-01,0.3
268,2012-05-01,-0.12
269,2012-06-01,-0.15
270,2012-07-01,-0.16
271,2012-08-01,0.56
272,2012-09-01,0.45
273,2012-10-01,-0.04
274,2012-11-01,-0.47
275,2012-12-01,-0.27
276,2013-01-01,0.3
277,2013-02-01,0.82
278,2013-03-01,0.26
279,2013-04-01,-0.1
280,2013-05-01,0.18
281,2013-06-01,0.24
282,2013-07-01,0.04
283,2013-08-01,0.12
284,2013-09-01,0.12
285,2013-10-01,-0.26
286,2013-11-01,-0.2
287,2013-12-01,-0.01
288,2014-01-01,0.37
289,2014-02-01,0.37
290,2014-03-01,0.64
291,2014-04-01,0.33
292,2014-05-01,0.35
293,2014-06-01,0.19
294,2014-07-01,-0.04
295,2014-08-01,-0.17
296,2014-09-01,0.08
297,2014-10-01,-0.25
298,2014-11-01,-0.54
299,2014-12-01,-0.57
300,2015-01-01,-0.47
301,2015-02-01,0.43
302,2015-03-01,0.6
303,2015-04-01,0.2
304,2015-05-01,0.51
305,2015-06-01,0.35
306,2015-07-01,0.01
307,2015-08-01,-0.14
308,2015-09-01,-0.16
309,2015-10-01,-0.04
310,2015-11-01,-0.21
311,2015-12-01,-0.34
312,2016-01-01,0.17
313,2016-02-01,0.08
314,2016-03-01,0.43
315,2016-04-01,0.47
316,2016-05-01,0.41
317,2016-06-01,0.33
318,2016-07-01,-0.16
319,2016-08-01,0.09
320,2016-09-01,0.24
321,2016-10-01,0.12
322,2016-11-01,-0.16
323,2016-12-01,0.03
324,2017-01-01,0.58
325,2017-02-01,0.31
326,2017-03-01,0.08
327,2017-04-01,0.3
328,2017-05-01,0.09
329,2017-06-01,0.09
330,2017-07-01,-0.07
331,2017-08-01,0.3
332,2017-09-01,0.53
333,2017-10-01,-0.06
334,2017-11-01,0.0
335,2017-12-01,-0.06
336,2018-01-01,0.54
337,2018-02-01,0.45
338,2018-03-01,0.23
339,2018-04-01,0.4
340,2018-05-01,0.42
341,2018-06-01,0.16
342,2018-07-01,0.01
343,2018-08-01,0.06
344,2018-09-01,0.12
345,2018-10-01,0.18
346,2018-11-01,-0.33
347,2018-12-01,-0.32
348,2019-01-01,0.19
349,2019-02-01,0.42
350,2019-03-01,0.56
351,2019-04-01,0.53
352,2019-05-01,0.21
353,2019-06-01,0.02
354,2019-07-01,0.17
355,2019-08-01,-0.01
356,2019-09-01,0.08
357,2019-10-01,0.23
358,2019-11-01,-0.05
359,2019-12-01,-0.09
360,2020-01-01,0.39
361,2020-02-01,0.27
362,2020-03-01,-0.22
363,2020-04-01,-0.67
364,2020-05-01,0.0
365,2020-06-01,0.55
366,2020-07-01,0.51
367,2020-08-01,0.32
368,2020-09-01,0.14
369,2020-10-01,0.04
370,2020-11-01,-0.06
371,2020-12-01,0.09
372,2021-01-01,0.43
373,2021-02-01,0.55
374,2021-03-01,0.71
375,2021-04-01,0.82
376,2021-05-01,0.8
377,2021-06-01,0.93
378,2021-07-01,0.48
379,2021-08-01,0.21
380,2021-09-01,0.27
381,2021-10-01,
382,2021-11-01,
383,2021-12-01,
